mass, radius, density
7.060473932449471e+28 52564497.81000004 9683885.69149524
7.114640571177581e+28 52773078.81000004 9681442.522498898
7.168993261114248e+28 52981659.81000004 9678990.539228741
7.223531687947513e+28 53190240.81000004 9676529.750610054
7.278255536388697e+28 53398821.81000004 9674060.16559711
7.333164490176795e+28 53607402.81000004 9671581.793173099
7.3882582320780235e+28 53815983.81000004 9669094.64235007
7.44353644389179e+28 54024564.81000004 9666598.722168863
7.498998806452718e+28 54233145.81000004 9664094.041699026
7.55464499963256e+28 54441726.81000004 9661580.610038776
7.610474702343916e+28 54650307.81000004 9659058.436314918
7.666487592543158e+28 54858888.81000004 9656527.529682774
7.722683347232798e+28 55067469.81000004 9653987.89932613
7.7790616424647475e+28 55276050.81000004 9651439.55445715
7.835622153342912e+28 55484631.81000004 9648882.50431633
7.892364554027243e+28 55693212.81000004 9646316.758172417
7.949288517734186e+28 55901793.81000004 9643742.325322341
8.006393716742876e+28 56110374.81000004 9641159.21509116
8.063679822395138e+28 56318955.81000004 9638567.436831972
8.121146505099648e+28 56527536.81000004 9635966.999925865
8.17879343433554e+28 56736117.81000004 9633357.913781844
8.236620278654434e+28 56944698.81000004 9630740.187836753
8.294626705682907e+28 57153279.81000004 9628113.831555221
8.35281238212734e+28 57361860.81000004 9625478.854429584
8.411176973774819e+28 57570441.81000004 9622835.265979817
8.469720145497855e+28 57779022.81000004 9620183.075753469
8.528441561255074e+28 57987603.81000004 9617522.29332559
8.58734088409717e+28 58196184.81000004 9614852.928298661
8.646417776168152e+28 58404765.81000004 9612174.99030253
8.705671898707144e+28 58613346.81000004 9609488.488994334
8.765102912055478e+28 58821927.81000004 9606793.434058435
8.824710475653876e+28 59030508.81000004 9604089.835206352
8.884494248051687e+28 59239089.81000004 9601377.702176686
8.944453886904408e+28 59447670.81000004 9598657.044735046
9.004589048981452e+28 59656251.81000005 9595927.872673992
9.064899390164799e+28 59864832.81000005 9593190.195812946
9.12538456545586e+28 60073413.81000005 9590444.023998138
9.186044228975596e+28 60281994.81000005 9587689.367102526
9.246878033969915e+28 60490575.81000005 9584926.23502573
9.307885632811142e+28 60699156.81000005 9582154.637693953
9.369066677001505e+28 60907737.81000005 9579374.585059911
9.430420817176627e+28 61116318.81000005 9576586.087102775
9.491947703107891e+28 61324899.81000005 9573789.15382808
9.55364698370638e+28 61533480.81000005 9570983.795267666
9.615518307025689e+28 61742061.81000005 9568170.0214796
9.677561320263958e+28 61950642.81000005 9565347.842548106
9.739775669768933e+28 62159223.81000005 9562517.268583491
9.802161001039319e+28 62367804.81000005 9559678.309722077
9.864716958729283e+28 62576385.81000005 9556830.97612612
9.927443186650369e+28 62784966.81000005 9553975.277983746
9.990339327775663e+28 62993547.81000005 9551111.225508872
1.0053405024241596e+29 63202128.81000005 9548238.82894114
1.0116639917353233e+29 63410709.81000005 9545358.098545834
1.0180043647584838e+29 63619290.81000005 9542469.044613812
1.024361585458539e+29 63827871.81000005 9539571.677461434
1.0307356177180387e+29 64036452.81000005 9536666.007430486
1.0371264253374317e+29 64245033.81000005 9533752.044888103
1.0435339720356069e+29 64453614.81000005 9530829.800226703
1.049958221450118e+29 64662195.81000005 9527899.28386391
1.0563991371372741e+29 64870776.81000005 9524960.506242473
1.0628566825728145e+29 65079357.81000005 9522013.477830201
1.0693308211520894e+29 65287938.81000005 9519058.209119879
1.0758215161901499e+29 65496519.81000005 9516094.710629206
1.0823287309226035e+29 65705100.81000005 9513122.99290071
1.0888524285052539e+29 65913681.81000005 9510143.066501677
1.0953925720150244e+29 66122262.81000005 9507154.942024073
1.1019491244499576e+29 66330843.81000005 9504158.630084474
1.108522048729576e+29 66539424.81000005 9501154.141323984
