mass, radius, density
3.0245476240130e+32 7.5284585197450e+11 1.3974672054248e-01
3.0527165605826e+32 7.5568241139134e+11 1.3783756972369e-01
3.0828226357899e+32 7.5863569492003e+11 1.3609268071614e-01
3.1107607370456e+32 7.6157983577975e+11 1.3546881140001e-01
3.1385562944338e+32 7.6438365074316e+11 1.3626880367934e-01
3.1665050751246e+32 7.6715190916663e+11 1.3700228382139e-01
3.1945928369675e+32 7.6991431129337e+11 1.3630477775136e-01
3.2245900186236e+32 7.7277359332139e+11 1.3540079673361e-01
3.2527128774222e+32 7.7563422163335e+11 1.3433889618502e-01
3.2808061185905e+32 7.7840793986765e+11 1.3279660219175e-01
3.3107082732371e+32 7.8127042753339e+11 1.3230227284293e-01
3.3388210249696e+32 7.8412491839130e+11 1.3171635900111e-01
3.3669538363671e+32 7.8689607860725e+11 1.3005646391401e-01
3.3947246347112e+32 7.8964927778084e+11 1.2999043550262e-01
3.4249805091844e+32 7.9249298636598e+11 1.2947188381058e-01
3.4531423307845e+32 7.9536638379916e+11 1.2716309385362e-01
3.4830360962977e+32 7.9823614049848e+11 1.2639904265692e-01
3.5110094833009e+32 8.0108430629372e+11 1.2647594577925e-01
3.5391597362715e+32 8.0383789999421e+11 1.2540433558030e-01
3.5692926074478e+32 8.0670943260807e+11 1.2370698745884e-01
3.5973811515173e+32 8.0959289965675e+11 1.2230084921757e-01
3.6275653593668e+32 8.1249423626196e+11 1.2071108064938e-01
3.6555811476762e+32 8.1540499951415e+11 1.1944369050397e-01
3.6836406742545e+32 8.1821436369218e+11 1.1863220125539e-01
3.7138574301905e+32 8.2114295744638e+11 1.1708738547687e-01
3.7419693162502e+32 8.2409373396866e+11 1.1534358825554e-01
3.7718071661510e+32 8.2703022277812e+11 1.1505843229902e-01
3.7998119226234e+32 8.2994299117127e+11 1.1520386422437e-01
3.8299478717367e+32 8.3286070448408e+11 1.1421222290868e-01
3.8580862472227e+32 8.3579640563237e+11 1.1269425669771e-01
3.8881719463382e+32 8.3874636435778e+11 1.1137796588994e-01
3.9178770642269e+32 8.4176691042754e+11 1.1174132372640e-01
3.9400074222263e+32 8.4407095782053e+11 1.5234287393301e-01
3.9662830837944e+32 8.4553915006968e+11 2.2260552546776e-01
